Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,0.78,0.80,0.77,0.79,5096200,0.79
2015-08-17,0.795,0.795,0.78,0.78,1275600,0.78
2015-08-14,0.80,0.81,0.79,0.80,2555100,0.80
2015-08-13,0.79,0.805,0.79,0.805,2544000,0.805
2015-08-12,0.82,0.835,0.79,0.795,2925900,0.795
2015-08-11,0.835,0.85,0.815,0.83,1256000,0.83
2015-08-10,0.875,0.875,0.84,0.85,2716800,0.85
2015-08-07,0.89,0.905,0.875,0.88,5872000,0.88
2015-08-06,0.87,0.87,0.87,0.87,000,0.87
2015-08-05,0.875,0.88,0.865,0.87,2060500,0.87
2015-08-04,0.855,0.87,0.85,0.865,983600,0.865
2015-08-03,0.83,0.855,0.83,0.85,1960200,0.85
2015-07-31,0.835,0.835,0.825,0.83,909800,0.83
2015-07-30,0.83,0.84,0.83,0.83,1420300,0.83
2015-07-29,0.835,0.835,0.825,0.83,1431800,0.83
2015-07-28,0.83,0.84,0.825,0.835,1043000,0.835
2015-07-27,0.835,0.85,0.83,0.84,1710800,0.84
2015-07-24,0.81,0.85,0.81,0.835,2389000,0.835
2015-07-23,0.795,0.81,0.795,0.81,1185400,0.81
2015-07-22,0.80,0.80,0.79,0.795,1049500,0.795
2015-07-21,0.79,0.80,0.785,0.80,920400,0.80
2015-07-20,0.785,0.79,0.78,0.785,1091000,0.785
2015-07-17,0.785,0.785,0.785,0.785,000,0.785
2015-07-16,0.78,0.785,0.775,0.785,858800,0.785
2015-07-15,0.78,0.785,0.775,0.785,1540500,0.785
2015-07-14,0.78,0.79,0.78,0.79,1103200,0.79
2015-07-13,0.79,0.79,0.785,0.79,676400,0.79
2015-07-10,0.79,0.80,0.775,0.79,2529000,0.79
2015-07-09,0.77,0.80,0.77,0.79,1273600,0.79
2015-07-08,0.78,0.78,0.765,0.77,1133700,0.77
2015-07-07,0.78,0.78,0.775,0.78,899700,0.78
2015-07-06,0.78,0.785,0.775,0.775,1248300,0.775
2015-07-03,0.78,0.79,0.775,0.78,679700,0.78
2015-07-02,0.775,0.795,0.775,0.785,1373200,0.785
2015-07-01,0.745,0.79,0.745,0.775,1703400,0.775
2015-06-30,0.74,0.745,0.735,0.745,647200,0.745
2015-06-29,0.74,0.745,0.735,0.745,1615200,0.745
2015-06-26,0.745,0.75,0.74,0.75,1616200,0.75
2015-06-25,0.75,0.75,0.745,0.75,1237200,0.75
2015-06-24,0.745,0.75,0.735,0.75,2180400,0.75
2015-06-23,0.74,0.75,0.74,0.745,1206200,0.745
2015-06-22,0.745,0.745,0.735,0.745,1695000,0.745
2015-06-19,0.75,0.75,0.735,0.745,1376100,0.745
2015-06-18,0.74,0.75,0.735,0.75,566200,0.75
2015-06-17,0.75,0.76,0.745,0.75,587000,0.75
2015-06-16,0.745,0.75,0.735,0.75,1137900,0.75
2015-06-15,0.745,0.75,0.735,0.75,1489200,0.75
2015-06-12,0.745,0.75,0.74,0.75,633400,0.75
2015-06-11,0.745,0.75,0.74,0.75,604000,0.75
2015-06-10,0.745,0.745,0.73,0.745,539900,0.745
2015-06-09,0.74,0.745,0.74,0.745,371000,0.745
2015-06-08,0.765,0.765,0.725,0.74,794200,0.74
2015-06-05,0.75,0.77,0.75,0.765,1289800,0.765
2015-06-04,0.68,0.76,0.68,0.75,1694100,0.75
2015-06-03,0.68,0.695,0.67,0.68,2849600,0.68
2015-06-02,0.69,0.695,0.67,0.675,2518400,0.675
2015-06-01,0.68,0.68,0.68,0.68,000,0.68
2015-05-29,0.715,0.715,0.65,0.68,2373900,0.68
2015-05-28,0.72,0.725,0.705,0.715,128400,0.715
2015-05-27,0.735,0.74,0.70,0.715,761500,0.715
2015-05-26,0.72,0.735,0.72,0.73,316900,0.73
2015-05-25,0.75,0.75,0.715,0.715,1017900,0.715
2015-05-22,0.745,0.78,0.725,0.78,808900,0.78
2015-05-21,0.76,0.76,0.74,0.745,470900,0.745
2015-05-20,0.77,0.79,0.76,0.76,458200,0.76
2015-05-19,0.775,0.775,0.77,0.77,897600,0.77
2015-05-18,0.78,0.78,0.775,0.775,904800,0.775
2015-05-15,0.79,0.795,0.78,0.79,688900,0.79
2015-05-14,0.805,0.81,0.785,0.795,2292900,0.795
2015-05-13,0.785,0.80,0.785,0.795,989900,0.795
2015-05-12,0.785,0.785,0.78,0.785,506600,0.785
2015-05-11,0.785,0.785,0.775,0.78,2466600,0.78
2015-05-08,0.78,0.79,0.77,0.785,771100,0.785
2015-05-07,0.775,0.79,0.77,0.785,2315000,0.785
2015-05-06,0.78,0.79,0.77,0.79,1096200,0.79
2015-05-05,0.785,0.785,0.77,0.78,201300,0.78
2015-05-04,0.795,0.795,0.795,0.795,000,0.795
2015-05-01,0.795,0.795,0.795,0.795,000,0.795
2015-04-30,0.79,0.795,0.785,0.795,266300,0.795
2015-04-29,0.79,0.81,0.79,0.80,494400,0.80
2015-04-28,0.79,0.805,0.785,0.79,568500,0.79
2015-04-27,0.79,0.80,0.785,0.79,666800,0.79
2015-04-24,0.79,0.80,0.78,0.78,761500,0.78
2015-04-23,0.80,0.80,0.78,0.795,261700,0.795
2015-04-22,0.805,0.81,0.79,0.81,678000,0.81
2015-04-21,0.815,0.815,0.795,0.80,1763100,0.80
2015-04-20,0.81,0.825,0.805,0.82,817600,0.82
2015-04-17,0.80,0.82,0.80,0.81,337500,0.81
2015-04-16,0.825,0.825,0.795,0.795,390500,0.795
2015-04-15,0.79,0.82,0.785,0.815,1018400,0.815
2015-04-14,0.80,0.81,0.78,0.795,557900,0.795
2015-04-13,0.80,0.825,0.79,0.82,1235800,0.82
2015-04-10,0.82,0.83,0.77,0.83,516100,0.83
2015-04-09,0.795,0.83,0.795,0.83,66200,0.83
2015-04-08,0.81,0.83,0.81,0.82,759000,0.82
2015-04-07,0.86,0.87,0.77,0.81,2445800,0.81
2015-04-06,0.81,0.86,0.81,0.86,3690200,0.86
2015-04-03,0.785,0.81,0.785,0.805,173000,0.805
2015-04-02,0.76,0.785,0.75,0.785,581100,0.785
2015-04-01,0.77,0.77,0.745,0.76,1469100,0.76
2015-03-31,0.77,0.775,0.755,0.765,655900,0.765
2015-03-30,0.75,0.775,0.75,0.775,2094700,0.775
2015-03-27,0.75,0.755,0.745,0.755,511100,0.755
2015-03-26,0.765,0.765,0.75,0.75,502900,0.75
2015-03-25,0.80,0.80,0.76,0.775,746300,0.775
2015-03-24,0.81,0.82,0.775,0.79,3432800,0.79
2015-03-23,0.795,0.84,0.76,0.82,5716700,0.82
2015-03-20,0.70,0.77,0.70,0.77,1797100,0.77
2015-03-19,0.74,0.76,0.70,0.71,1131200,0.71
2015-03-18,0.77,0.785,0.73,0.73,872000,0.73
2015-03-17,0.77,0.78,0.77,0.78,172300,0.78
2015-03-16,0.805,0.805,0.775,0.80,697100,0.80
2015-03-13,0.835,0.84,0.81,0.81,1162000,0.81
2015-03-12,0.84,0.85,0.825,0.845,662900,0.845
2015-03-11,0.85,0.85,0.83,0.835,386400,0.835
2015-03-10,0.86,0.86,0.845,0.86,453100,0.86
2015-03-09,0.89,0.90,0.85,0.87,778400,0.87
2015-03-06,0.895,0.925,0.89,0.90,183600,0.90
2015-03-05,0.90,0.90,0.88,0.90,59300,0.90
2015-03-04,0.885,0.895,0.88,0.895,73500,0.895
2015-03-03,0.90,0.90,0.895,0.90,156900,0.90
2015-03-02,0.90,0.92,0.88,0.90,394300,0.90
